chapter,gut_line,text
6,1073,Moreover some of the reptiles were returning to the sea waters.
6,1074,Three groups of big swimming beings had invaded the sea from which
6,1075,"their ancestors had come: the Mososaurs, the Plesiosaurs, and"
6,1076,Ichthyosaurs.  Some of these again approached the proportions of
6,1077,our present whales.  The Ichthyosaurs seem to have been quite
6,1078,"seagoing creatures, but the Plesiosaurs were a type of animal that"
6,1079,has no cognate form to-day.  The body was stout and big with
6,1080,"paddles, adapted either for swimming or crawling through marshes,"
6,1081,or along the bottom of shallow waters.  The comparatively small
6,1082,"{30} head was poised on a vast snake of neck, altogether outdoing"
6,1083,the neck of the swan.  Either the Plesiosaur swam and searched for
6,1084,"food under the water and fed as the swan will do, or it lurked"
6,1085,under water and snatched at passing fish or beast.
6,1087,Such was the predominant land life throughout the Mesozoic age.
6,1088,It was by our human standards an advance upon anything that had
